case,prob
130,0.9999915361404419
131,0.9994003772735596
132,7.911132706794888e-05
133,3.6556157283484936e-05
134,0.3959083557128906
135,0.02616264671087265
136,0.9999866485595703
137,9.192103789246175e-06
138,0.008076739497482777
139,8.678050107846502e-06
140,0.8816180229187012
141,0.9969838261604309
142,0.9999771118164062
143,0.7601427435874939
144,0.9997848868370056
145,0.9995278120040894
146,0.7910744547843933
147,0.9999918937683105
148,0.9999980926513672
149,0.005323953926563263
150,0.7363731265068054
151,0.002536500571295619
152,0.6444960832595825
153,0.9899774789810181
154,0.00030351695022545755
155,0.002388888271525502
156,0.9999899864196777
157,0.9993664622306824
158,0.02399047277867794
159,0.011867426335811615
160,0.9999992847442627
161,0.644782543182373
162,2.7065946142101893e-06
163,0.0002805103431455791
164,0.9998828172683716
165,0.9999910593032837
166,0.7829108834266663
167,1.006182446872117e-05
168,1.3147529898560606e-05
169,0.683573305606842
170,0.9999971389770508
171,0.003850766224786639
172,0.966072142124176
173,0.5089759826660156
174,0.9979994893074036
175,1.0
176,0.9214674830436707
177,0.9955012202262878
178,0.9994286894798279
179,0.0034910300746560097
180,0.9999997615814209
181,0.005839086137712002
182,0.9791569709777832
183,0.9983841180801392
184,0.8363279104232788
185,0.0013102050870656967
186,0.9994370341300964
187,0.999734103679657
188,0.00019018705643247813
189,0.9985610842704773
190,0.9999856948852539
191,1.0532978194532916e-05
192,0.9995480179786682
193,5.5658088967902586e-05
194,0.004718257114291191
195,0.9626665711402893
196,0.9996069073677063
197,0.8630803823471069
198,0.006874591112136841
199,1.0274608939653262e-05
