case,prob
137,0.2671598792076111
176,0.40524712204933167
148,0.6837427020072937
160,0.7750580906867981
172,0.5969529151916504
133,0.26258841156959534
178,0.34430426359176636
147,0.6720320582389832
140,0.6410269141197205
131,0.6926554441452026
135,0.6492321491241455
173,0.27551743388175964
179,0.5361261963844299
182,0.5161539316177368
169,0.4328504204750061
139,0.285289466381073
199,0.35763242840766907
195,0.5996146202087402
170,0.6117269992828369
190,0.9326497316360474
144,0.31182247400283813
191,0.3003373444080353
196,0.2774900197982788
143,0.6000431776046753
132,0.6584542989730835
171,0.39412227272987366
150,0.5878227353096008
167,0.34874606132507324
187,0.6343515515327454
180,0.5949603319168091
145,0.570870578289032
153,0.5506052374839783
188,0.4209226369857788
151,0.47310808300971985
134,0.2934201657772064
157,0.6634721755981445
158,0.6957935094833374
168,0.27669215202331543
198,0.48518070578575134
164,0.4811631143093109
159,0.5512107610702515
184,0.4938017427921295
138,0.4692958891391754
141,0.38124895095825195
155,0.6111786961555481
166,0.8542689681053162
162,0.33375996351242065
163,0.4165078103542328
185,0.43555349111557007
156,0.7306109070777893
136,0.5698026418685913
175,0.7295820713043213
149,0.27782124280929565
152,0.4742421805858612
161,0.43360182642936707
192,0.6975560784339905
174,0.5635083913803101
186,0.7099339962005615
142,0.5927574634552002
177,0.307245671749115
146,0.4992443919181824
165,0.45996224880218506
197,0.3421240448951721
189,0.699287474155426
183,0.71877121925354
154,0.43462827801704407
194,0.4715581238269806
130,0.7596978545188904
181,0.45774537324905396
193,0.31843942403793335
