case,prob
130,0.5016081227806838
131,0.7230844943631821
132,0.630112740199481
133,0.541101327009048
134,0.6429038190753026
135,0.47863726439661625
136,0.4999874393310269
137,0.34313301844496114
138,0.296723117291929
139,0.3934538552485516
140,0.781161065406482
141,0.6771173465406908
142,0.6832465643436387
143,0.7714544540624596
144,0.543586189582834
145,0.6593405171213749
146,0.9901417355885487
147,0.8766286958560296
148,0.7000109519407747
149,0.3999689982125677
150,0.8387745522216807
151,0.8988704528276841
152,0.5491679814484904
153,0.8993008460876093
154,0.5522199314138159
155,0.5926432995163616
156,0.47764362133412935
157,0.9000038667709219
158,0.6975664021496601
159,0.5002651501015949
160,0.8999885046023671
161,0.6875681347057501
162,0.5884041330147551
163,0.3007431775128412
164,0.7783143175289922
165,0.5525075657999061
166,0.30216969162827534
167,0.39991416135604607
168,0.47499605613708684
169,0.6000816929602703
170,0.6788395958079538
171,0.4306131203560731
172,0.5806889353455651
173,0.2776767029319113
174,0.371560679659793
175,0.6701558794869908
176,0.6432536050473667
177,0.45554734933672
178,0.8548908568214226
179,0.39999976416245964
180,0.6346285913573599
181,0.3999734398392415
182,0.8997686487100713
183,0.6525475152690856
184,0.6981676847170533
185,0.6911538148473896
186,0.7998835578814171
187,0.6599641330552078
188,0.43334891705201956
189,0.5246125919904863
190,0.7666315935200838
191,0.6618411947239775
192,0.7602521778792947
193,0.2000000018270615
194,0.27475326489340757
195,0.380817191263922
196,0.5397138200660905
197,0.7830734855817238
198,0.3983149585680132
199,0.23895934281847783
