case,prob
130,0.673306
147,1.0
162,0.46573675000000003
184,0.430918
160,0.68041675
151,0.41847850000000003
170,0.48513550000000005
198,0.44275525000000004
142,0.6176597500000001
172,0.42448525000000004
181,0.504202
166,0.6130847500000001
141,0.46289800000000003
177,0.4126765
182,0.6519490000000001
137,0.411523
190,1.0
144,0.6086995000000001
150,0.6590800000000001
178,1.0
173,0.4276045
145,0.8549905
152,0.440491
159,0.8493505
158,0.4972915
186,0.4651405
167,0.43944175
199,0.75589225
163,0.43211350000000004
153,0.43481200000000003
131,1.0
157,0.42878275000000005
133,0.51145675
174,0.5718587500000001
168,0.4142515
154,0.49588075000000004
188,0.436294
171,0.40698175000000003
148,0.48913150000000005
189,0.49910575
149,0.4015735
139,0.4339885
155,0.5285920000000001
143,0.82359325
134,0.50527825
196,0.426877
195,1.0
194,0.4793035
179,0.49019125
185,0.54367
164,0.58065325
187,0.52984975
156,0.51023575
136,0.52976575
193,0.44975875000000004
192,0.61015825
197,0.47707525
146,0.51716425
161,0.5187895
140,0.91028275
138,0.4495135
191,0.44187550000000003
176,0.418312
175,0.674794
180,0.64058725
183,1.0
165,0.557545
132,0.52486
169,0.41681575000000004
135,0.545281
