public_id,coordX,coordY,coordZ,x_length,y_length,z_length,probability
137,24.5,72.93854904174805,512.2308044433594,17,104.67145538330078,162.01275634765625,0.5139584441979727
176,230.0,153.32361602783203,440.2672119140625,8,159.9685516357422,159.732421875,0.5538464850849576
148,177.5,149.21268463134766,355.9406280517578,43,125.90083312988281,194.37026977539062,0.6958516111428087
160,170.0,218.8253936767578,470.26002502441406,32,198.25576782226562,278.2958679199219,0.6193967624144121
172,302.0,130.37723922729492,402.6836395263672,14,98.03717803955078,50.374725341796875,0.6767766396204631
133,204.0,267.22296142578125,417.11095428466797,4,194.23760986328125,408.80897521972656,0.45693535208702085
178,251.0,229.53357696533203,481.5671691894531,32,171.7913055419922,174.13079833984375,0.5908875591827162
147,206.5,198.9966697692871,440.67921447753906,19,196.06134796142578,220.69369506835938,0.6630092903971672
140,213.0,248.82117462158203,494.02166748046875,26,239.6304168701172,243.6551513671875,0.6852645840909746
131,262.0,211.37527084350586,414.9750061035156,6,189.54999542236328,145.644775390625,0.5155153317110879
135,193.0,161.92104721069336,384.94046783447266,26,222.26746368408203,310.6641082763672,0.5768328176604377
173,194.0,112.06301498413086,420.32936096191406,20,131.26261138916016,150.15927124023438,0.7197218594096956
179,280.5,136.84445762634277,425.07603454589844,13,145.99516677856445,141.21994018554688,0.6196921425206321
182,202.0,164.9742431640625,268.1528778076172,36,203.81744384765625,141.18099975585938,0.7725450227389464
169,196.0,202.89403533935547,289.3624954223633,10,149.19715881347656,85.94346618652344,0.690704730424014
139,153.5,186.3128833770752,445.0561065673828,33,303.5454978942871,277.6976013183594,0.5744699187138501
199,254.5,232.38373565673828,362.8057098388672,33,195.05137634277344,167.02566528320312,0.8299029031220604
195,217.0,225.69140625,497.1709289550781,42,233.32879638671875,179.49957275390625,0.8255445922529975
170,232.0,189.78569412231445,321.8987121582031,32,189.36287689208984,110.83642578125,0.7297896101619258
190,282.5,189.96520805358887,411.9999237060547,23,281.83789443969727,200.95742797851562,0.6566782196362814
144,45.5,154.7351303100586,340.4445114135742,33,141.0775909423828,175.4634552001953,0.688082391724867
191,160.5,103.05082893371582,404.9134521484375,21,117.98977279663086,70.46466064453125,0.727983759208159
196,266.0,180.13418197631836,314.7531204223633,12,117.61563873291016,157.7219696044922,0.5167795832340534
143,296.0,250.76383209228516,543.2232971191406,36,203.68321228027344,161.41107177734375,0.669036911951529
132,171.0,179.63371086120605,305.6233158111572,32,246.15280532836914,524.493236541748,0.7131262710600188
171,206.0,123.65863990783691,412.0550994873047,14,176.89899826049805,65.93881225585938,0.6412087519963582
150,202.0,325.9429016113281,325.7830505371094,18,230.79290771484375,131.241943359375,0.8517951777106837
167,237.5,127.79829406738281,626.4681396484375,19,166.76907348632812,139.4925537109375,0.8236898839473724
187,199.5,184.4101905822754,435.17730712890625,31,188.24224090576172,201.026611328125,0.8257624730467796
180,166.0,191.59540939331055,641.59814453125,26,208.8591079711914,97.2335205078125,0.8437584572368197
145,213.0,223.78609085083008,381.2990188598633,66,235.44612884521484,364.94786071777344,0.7269318788798887
153,259.0,189.90771484375,303.1531753540039,26,149.876708984375,273.08348083496094,0.6530952431537487
188,108.5,105.90814685821533,202.9868278503418,27,159.9231777191162,173.7103042602539,0.47883635652916773
151,198.0,94.97158241271973,437.3483123779297,18,119.56406784057617,429.6750793457031,0.8062874612055326
134,217.5,162.80025482177734,490.2117462158203,7,173.5765838623047,481.8671569824219,0.5743784792721272
157,221.0,205.4403076171875,263.5521697998047,12,118.4901123046875,81.73721313476562,0.7155867975491744
158,283.5,156.25408172607422,424.356689453125,17,131.75889587402344,87.9029541015625,0.7467783540487289
168,64.5,112.18999481201172,550.8041076660156,11,87.07514953613281,65.08929443359375,0.7066652625799179
198,269.0,215.79775619506836,394.77978515625,20,180.97083282470703,248.2279052734375,0.7591344231650943
164,208.5,246.5064811706543,451.4593811035156,21,248.6604995727539,257.49066162109375,0.522472080859271
159,220.5,177.557466506958,287.6213150024414,23,257.1666831970215,173.22434997558594,0.8478379659354687
184,199.5,147.3282585144043,396.3022003173828,21,77.70243072509766,201.82546997070312,0.5471470355987549
138,214.0,127.25884246826172,622.3790283203125,22,124.82099914550781,249.6446533203125,0.6889070116955301
141,187.5,118.79894638061523,495.94163513183594,7,67.5739517211914,212.29812622070312,0.6780577078461647
155,239.0,144.6436882019043,615.1074829101562,28,133.2477798461914,95.393310546875,0.8058006475711691
166,169.0,136.3735876083374,418.81529235839844,56,212.9570484161377,138.97140502929688,0.7884355103760435
162,93.5,173.44306182861328,301.79466247558594,27,211.6560516357422,282.8072814941406,0.6320810573441642
163,154.5,79.80425453186035,238.69903564453125,19,99.12553024291992,307.57647705078125,0.7678891614079475
185,158.0,147.22721099853516,379.3793716430664,36,174.5823516845703,405.8630828857422,0.7646368846699998
156,179.0,158.84975051879883,502.2769775390625,22,138.04888153076172,148.814208984375,0.8117824417093525
136,201.5,119.424072265625,631.7042236328125,13,174.52410888671875,228.371826171875,0.6454430541821888
175,164.5,176.76103973388672,457.06163024902344,29,194.91090393066406,155.13455200195312,0.7540317436059316
149,209.0,66.36081180721521,361.97705078125,44,132.32705192267895,167.1363525390625,0.6736863838301764
152,151.5,193.64489364624023,434.95556640625,13,237.26148223876953,199.4688720703125,0.5422939764601844
161,224.5,234.76945114135742,342.9829559326172,35,236.58011627197266,322.7203674316406,0.6762043138345083
192,235.5,182.41485214233398,368.02081298828125,19,151.38385772705078,151.17547607421875,0.8361270889639855
174,242.0,172.42464065551758,588.2643127441406,38,179.6856918334961,134.35711669921875,0.8070867611811712
186,213.0,139.58605289459229,439.53912353515625,28,233.25251579284668,375.2718505859375,0.6897235615500088
142,182.5,129.10147094726562,287.8161315917969,37,210.5430908203125,177.08111572265625,0.7700604247419458
177,131.5,114.43382453918457,514.1589965820312,31,144.72521591186523,266.711669921875,0.5167134180665016
146,138.5,159.97262573242188,615.7939147949219,19,143.63580322265625,218.53790283203125,0.6545560956001282
